1 

         1785813871 function calls (1686535384 primitive calls) in 538.854 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1174545    0.095    0.000    0.095    0.000 {method 'append' of 'list' objects}
   240866    0.086    0.000    0.127    0.000 _collections_abc.py:676(items)
   525492    0.084    0.000    0.084    0.000 reportviews.py:189(__call__)
        1    0.065    0.065    0.067    0.067 {method 'read' of '_io.TextIOWrapper' objects}
   453132    0.060    0.000    0.060    0.000 union_find.py:105(<lambda>)
      350    0.060    0.000    0.247    0.001 boundary.py:100(node_boundary)
   540016    0.056    0.000    0.056    0.000 {method 'random' of '_random.Random' objects}
   131907    0.056    0.000    0.082    0.000 graph.py:398(__iter__)
   540016    0.056    0.000    0.056    0.000 {built-in method math.isnan}
   529151    0.054    0.000    0.054    0.000 graph.py:1428(is_directed)
   530373    0.054    0.000    0.054    0.000 graph.py:1424(is_multigraph)
        1    0.051    0.051    0.400    0.400 GerrymanderingMCMC.py:53(read_graph)
      611    0.045    0.000    9.758    0.016 mst.py:552(maximum_spanning_tree)
        1    0.044    0.044    0.044    0.044 decoder.py:343(raw_decode)
        1    0.043    0.043    0.052    0.052 adjacency.py:15(adjacency_data)
      754    0.041    0.000    0.043    0.000 encoder.py:204(iterencode)
   240866    0.041    0.000    0.041    0.000 _collections_abc.py:698(__init__)
   262746    0.038    0.000    0.038    0.000 {built-in method builtins.abs}
      284    0.033    0.000    0.363    0.001 GerrymanderingMCMC.py:195(__update_new_districts_with_cut)
     1500    0.032    0.000    0.037    0.000 BWP.py:16(append)
    70813    0.030    0.000    0.100    0.000 graph.py:451(__getitem__)
    42000    0.023    0.000    0.023    0.000 {built-in method _bisect.insort_right}
      350    0.020    0.000    0.043    0.000 boundary.py:137(<setcomp>)
    71163    0.019    0.000    0.120    0.000 boundary.py:138(<genexpr>)
     1050    0.017    0.000    0.156    0.000 random.py:286(sample)
     7700    0.016    0.000   45.851    0.006 GerrymanderingMCMC.py:153(__get_district_nodes)
     1503    0.016    0.000    0.016    0.000 {built-in method posix.stat}
      350    0.015    0.000    0.034    0.000 GerrymanderingMCMC.py:149(<listcomp>)
      754    0.014    0.000    0.014    0.000 {built-in method posix.mkdir}
     7000    0.012    0.000    0.012    0.000 RDS.py:11(append)
      250    0.008    0.000    0.271    0.001 RDS.py:56(save)
     2100    0.006    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
  754/753    0.005    0.000    0.042    0.000 os.py:198(makedirs)
      753    0.005    0.000    0.010    0.000 posixpath.py:154(dirname)
      250    0.005    0.000    0.634    0.003 MMD.py:14(save)
      350    0.005    0.000    2.580    0.007 GerrymanderingMCMC.py:143(__find_neighboring_district)
      250    0.005    0.000   10.116    0.040 node_link.py:20(node_link_data)
      350    0.004    0.000   30.651    0.088 graph.py:1432(copy)
        1    0.004    0.004    0.005    0.005 RDS.py:36(summary)
     1050    0.004    0.000    0.160    0.000 GerrymanderingMCMC.py:137(__random_district_label)
        1    0.004    0.004  538.854  538.854 runner.py:7(main)
     5792    0.003    0.000    0.004    0.000 graph.py:477(add_node)
      861    0.003    0.000    0.003    0.000 reportviews.py:642(__init__)
      755    0.003    0.000    0.005    0.000 _bootlocale.py:33(getpreferredencoding)
1053/1052    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
     1222    0.003    0.000    0.003    0.000 coreviews.py:311(__iter__)
     1050    0.003    0.000    0.004    0.000 random.py:224(_randbelow)
      861    0.003    0.000    0.006    0.000 reportviews.py:933(__call__)
      755    0.002    0.000    0.002    0.000 {built-in method _locale.nl_langinfo}
      700    0.002    0.000    4.656    0.007 GerrymanderingMCMC.py:160(__get_district_subgraph)
      754    0.002    0.000    0.003    0.000 posixpath.py:104(split)
      753    0.002    0.000    0.002    0.000 encoder.py:259(_make_iterencode)
      749    0.002    0.000    0.006    0.000 genericpath.py:39(isdir)
        1    0.002    0.002    0.002    0.002 {built-in method _codecs.utf_8_decode}
     1507    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
      611    0.002    0.000    0.002    0.000 union_find.py:38(__init__)
      611    0.002    0.000    0.006    0.000 decorator.py:decorator-gen-546>:1(maximum_spanning_edges)
        1    0.002    0.002    0.402    0.402 GerrymanderingMCMC.py:31(__init__)
     2100    0.001    0.000    0.012    0.000 abc.py:137(__instancecheck__)
      611    0.001    0.000    0.001    0.000 mst.py:402(maximum_spanning_edges)
        1    0.001    0.001    0.002    0.002 MMD.py:21(summary)
      754    0.001    0.000    0.014    0.000 genericpath.py:16(exists)
     1489    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     1507    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      754    0.001    0.000    0.001    0.000 codecs.py:186(__init__)
     1508    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        2    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1050    0.001    0.000    0.001    0.000 _collections_abc.py:302(__subclasshook__)
     1507    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
1053/1052    0.001    0.000    0.004    0.000 abc.py:141(__subclasscheck__)
        1    0.001    0.001    0.107    0.107 BWP.py:34(save)
      250    0.000    0.000    0.000    0.000 MMD.py:11(append)
      749    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
     1050    0.000    0.000    0.096    0.000 reportviews.py:171(__len__)
      350    0.000    0.000    0.000    0.000 {built-in method from_iterable}
     1050    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 BWP.py:8(__init__)
        1    0.000    0.000    0.111    0.111 GerrymanderingMCMC.py:81(__load_json)
        1    0.000    0.000    0.044    0.044 decoder.py:332(decode)
        1    0.000    0.000    0.002    0.002 codecs.py:319(decode)
        1    0.000    0.000    0.036    0.036 encoder.py:182(encode)
        1    0.000    0.000    0.044    0.044 __init__.py:299(loads)
        1    0.000    0.000    0.111    0.111 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.036    0.036 __init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        2    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_opener)
        1    0.000    0.000    0.000    0.000 pathlib.py:1199(open)
        1    0.000    0.000    0.000    0.000 RDS.py:6(__init__)
        1    0.000    0.000    0.000    0.000 MMD.py:6(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:692(_format_parsed_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
        1    0.000    0.000    0.000    0.000 graph.py:1345(adjacency)
        2    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:294(splitroot)
        1    0.000    0.000    0.000    0.000 pathlib.py:1034(_init)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5555558899a0}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}


New Profile

38 

         1806525402 function calls (1707254096 primitive calls) in 540.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 63661668   45.726    0.000  122.111    0.000 connected.py:185(_plain_bfs)
112990424   41.113    0.000   55.917    0.000 graph.py:666(nodes)
198576490/99307286   38.340    0.000   68.897    0.000 encoder.py:333(_iterencode_dict)
 59476406   34.175    0.000   42.535    0.000 coreviews.py:278(__getitem__)
 57529970   32.096    0.000  117.911    0.000 GerrymanderingMCMC.py:173(<lambda>)
112648423   23.799    0.000   64.007    0.000 reportviews.py:177(__getitem__)
      753   23.436    0.031  120.899    0.161 __init__.py:120(dump)
 63661668   23.320    0.000   42.441    0.000 {method 'update' of 'set' objects}
 60384685   21.807    0.000   28.899    0.000 coreviews.py:80(__getitem__)
 99268964   18.199    0.000   54.692    0.000 encoder.py:277(_iterencode_list)
     7700   18.062    0.002   44.981    0.006 GerrymanderingMCMC.py:158(<listcomp>)
     1003   15.483    0.015   25.371    0.025 graph.py:894(add_edges_from)
 99306534   15.321    0.000   15.321    0.000 {method 'write' of '_io.TextIOWrapper' objects}
