votes,seatsR,seatsD
0,0,0
0.38498582738880627,0.0,0.0
1.3849858273888072,0.0,0.0
2.384985827388808,0.0,0.0
3.384985827388809,0.0,0.0
4.38498582738881,0.0,0.0
5.38498582738881,0.0,0.0
6.384985827388812,0.0,0.0
7.384985827388812,0.0,0.0
8.384985827388814,0.0,0.0
9.384985827388814,0.0,0.0
10.384985827388816,0.0,0.0
11.384985827388816,0.0,0.0
12.384985827388817,0.0,0.0
13.384985827388817,0.0,0.0
14.38498582738882,0.0,0.0
15.38498582738882,0.0,0.0
16.38498582738882,0.0,0.0
17.38498582738882,0.0,0.0
18.38498582738882,0.0,0.0
19.384985827388824,0.0,0.0
20.384985827388824,0.0,0.0
21.384985827388824,0.0,0.0
22.384985827388824,0.0,0.0
23.384985827388828,0.0,0.0
24.384985827388828,0.0,0.0
25.384985827388828,0.0,0.0
26.384985827388828,0.0,0.0
27.38498582738883,0.0,0.0
28.38498582738883,0.0,0.0
29.38498582738883,0.0,0.0
30.38498582738883,0.0,0.0
31.384985827388835,0.0,0.0
32.38498582738883,0.0,0.0
33.38498582738884,0.0,2.175
34.38498582738884,2.7,5.1
35.38498582738884,4.8,7.3999999999999995
36.38498582738884,6.7250000000000005,8.725
37.38498582738884,8.799999999999999,11.075
38.38498582738884,13.675,12.950000000000001
39.38498582738884,18.0,15.9
40.38498582738884,26.075,18.125
41.384985827388846,31.624999999999996,18.05
42.384985827388846,38.85,20.599999999999998
43.384985827388846,44.7,22.95
44.384985827388846,52.675000000000004,25.0
45.384985827388846,57.199999999999996,25.0
46.384985827388846,62.1,25.0
47.384985827388846,65.8,25.0
48.384985827388846,70.975,25.0
49.38498582738885,72.95,27.05
50.38498582738885,75.0,29.025000000000002
51.38498582738885,75.0,34.2
52.38498582738885,75.0,37.9
53.38498582738885,75.0,42.8
54.38498582738885,75.0,47.325
55.38498582738885,75.0,55.300000000000004
56.38498582738885,77.125,61.150000000000006
57.38498582738886,79.425,68.375
59.38498582738886,79.7,73.925
60.38498582738886,82.05,82.0
61.38498582738886,84.15,86.325
62.38498582738886,86.6,91.2
63.38498582738886,88.875,93.27499999999999
64.38498582738886,90.575,95.19999999999999
65.38498582738886,92.825,97.3
66.38498582738886,95.375,100.0
67.38498582738886,97.725,100.0
68.38498582738886,100.0,100.0
69.38498582738887,100.0,100.0
70.38498582738887,100.0,100.0
71.38498582738887,100.0,100.0
72.38498582738887,100.0,100.0
73.38498582738887,100.0,100.0
74.38498582738887,100.0,100.0
75.38498582738887,100.0,100.0
76.38498582738887,100.0,100.0
77.38498582738887,100.0,100.0
78.38498582738887,100.0,100.0
79.38498582738887,100.0,100.0
80.38498582738887,100.0,100.0
81.38498582738887,100.0,100.0
82.38498582738887,100.0,100.0
83.38498582738887,100.0,100.0
84.38498582738887,100.0,100.0
85.38498582738889,100.0,100.0
86.38498582738889,100.0,100.0
87.38498582738889,100.0,100.0
88.38498582738889,100.0,100.0
89.38498582738889,100.0,100.0
90.38498582738889,100.0,100.0
91.38498582738889,100.0,100.0
92.38498582738889,100.0,100.0
93.38498582738889,100.0,100.0
94.38498582738889,100.0,100.0
95.38498582738889,100.0,100.0
96.38498582738889,100.0,100.0
97.38498582738889,100.0,100.0
98.38498582738889,100.0,100.0
99.38498582738889,100.0,100.0
100,100,100
