4 

         3813153206 function calls (3779125891 primitive calls) in 1267.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   617750    0.151    0.000    0.299    0.000 graph.py:1513(<genexpr>)
   349539    0.147    0.000    0.485    0.000 union_find.py:103(<listcomp>)
   376808    0.125    0.000    0.125    0.000 coreviews.py:317(<genexpr>)
   352142    0.118    0.000    0.174    0.000 _collections_abc.py:676(items)
      251    0.118    0.000    0.818    0.003 GerrymanderingMCMC.py:195(__update_new_districts_with_cut)
   670092    0.111    0.000    0.111    0.000 reportviews.py:189(__call__)
      350    0.110    0.000    0.484    0.001 boundary.py:100(node_boundary)
   699078    0.106    0.000    0.106    0.000 union_find.py:105(<lambda>)
   995322    0.101    0.000    0.101    0.000 {built-in method math.isnan}
   995322    0.099    0.000    0.099    0.000 {method 'random' of '_random.Random' objects}
   168024    0.081    0.000    0.114    0.000 graph.py:398(__iter__)
      425    0.078    0.000   16.227    0.038 mst.py:552(maximum_spanning_tree)
   674097    0.076    0.000    0.076    0.000 graph.py:1424(is_multigraph)
   673247    0.075    0.000    0.075    0.000 graph.py:1428(is_directed)
   148801    0.060    0.000    0.200    0.000 graph.py:451(__getitem__)
   352142    0.056    0.000    0.056    0.000 _collections_abc.py:698(__init__)
   335046    0.054    0.000    0.054    0.000 {built-in method builtins.abs}
      350    0.040    0.000    0.086    0.000 boundary.py:137(<setcomp>)
   149151    0.039    0.000    0.239    0.000 boundary.py:138(<genexpr>)
        1    0.023    0.023    0.407    0.407 GerrymanderingMCMC.py:53(read_graph)
      754    0.019    0.000    0.021    0.000 encoder.py:204(iterencode)
     1050    0.019    0.000    0.128    0.000 random.py:286(sample)
        1    0.019    0.019    0.023    0.023 adjacency.py:15(adjacency_data)
     1503    0.016    0.000    0.016    0.000 {built-in method posix.stat}
      754    0.016    0.000    0.016    0.000 {built-in method posix.mkdir}
        1    0.015    0.015    0.015    0.015 decoder.py:343(raw_decode)
        1    0.013    0.013    0.043    0.043 BWP.py:34(save)
      350    0.012    0.000    0.030    0.000 GerrymanderingMCMC.py:149(<listcomp>)
     1500    0.008    0.000    0.009    0.000 BWP.py:16(append)
  754/753    0.005    0.000    0.043    0.000 os.py:198(makedirs)
     1700    0.005    0.000    2.991    0.002 GerrymanderingMCMC.py:153(__get_district_nodes)
      753    0.005    0.000    0.010    0.000 posixpath.py:154(dirname)
      350    0.005    0.000    1.169    0.003 GerrymanderingMCMC.py:143(__find_neighboring_district)
     2100    0.005    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
      250    0.005    0.000    0.474    0.002 MMD.py:14(save)
      250    0.004    0.000    0.268    0.001 RDS.py:56(save)
      250    0.004    0.000    3.411    0.014 node_link.py:20(node_link_data)
      350    0.004    0.000    9.986    0.029 graph.py:1432(copy)
     1050    0.003    0.000    0.131    0.000 GerrymanderingMCMC.py:137(__random_district_label)
      755    0.003    0.000    0.003    0.000 {built-in method _locale.nl_langinfo}
     1050    0.003    0.000    0.004    0.000 random.py:224(_randbelow)
      755    0.003    0.000    0.006    0.000 _bootlocale.py:33(getpreferredencoding)
     6000    0.003    0.000    0.003    0.000 {built-in method _bisect.insort_right}
1053/1052    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      675    0.002    0.000    0.002    0.000 reportviews.py:642(__init__)
     1000    0.002    0.000    0.002    0.000 RDS.py:11(append)
      675    0.002    0.000    0.005    0.000 reportviews.py:933(__call__)
      754    0.002    0.000    0.003    0.000 posixpath.py:104(split)
      850    0.002    0.000    0.002    0.000 coreviews.py:311(__iter__)
      753    0.002    0.000    0.002    0.000 encoder.py:259(_make_iterencode)
      700    0.002    0.000    1.321    0.002 GerrymanderingMCMC.py:160(__get_district_subgraph)
      749    0.002    0.000    0.006    0.000 genericpath.py:39(isdir)
     1507    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
     2100    0.001    0.000    0.010    0.000 abc.py:137(__instancecheck__)
     1764    0.001    0.000    0.002    0.000 graph.py:477(add_node)
     1507    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      754    0.001    0.000    0.014    0.000 genericpath.py:16(exists)
      425    0.001    0.000    0.005    0.000 decorator.py:decorator-gen-546>:1(maximum_spanning_edges)
        1    0.001    0.001 1267.355 1267.355 runner.py:7(main)
     1810    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
      425    0.001    0.000    0.001    0.000 mst.py:402(maximum_spanning_edges)
      754    0.001    0.000    0.001    0.000 codecs.py:186(__init__)
      425    0.001    0.000    0.001    0.000 union_find.py:38(__init__)
     1508    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.001    0.001    0.408    0.408 GerrymanderingMCMC.py:31(__init__)
        1    0.001    0.001    0.001    0.001 RDS.py:36(summary)
     1050    0.001    0.000    0.001    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
     1507    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
1053/1052    0.001    0.000    0.004    0.000 abc.py:141(__subclasscheck__)
     1050    0.000    0.000    0.182    0.000 reportviews.py:171(__len__)
      250    0.000    0.000    0.000    0.000 MMD.py:11(append)
      749    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.001    0.001 MMD.py:21(summary)
     1050    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      350    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.014    0.014 __init__.py:183(dumps)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.014    0.014 encoder.py:182(encode)
        1    0.000    0.000    0.275    0.275 GerrymanderingMCMC.py:81(__load_json)
        1    0.000    0.000    0.000    0.000 BWP.py:8(__init__)
        1    0.000    0.000    0.015    0.015 decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 codecs.py:319(decode)
        1    0.000    0.000    0.015    0.015 __init__.py:299(loads)
        1    0.000    0.000    0.275    0.275 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 RDS.py:6(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        1    0.000    0.000    0.000    0.000 graph.py:1345(adjacency)
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_opener)
        2    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1199(open)
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.000    0.000 MMD.py:6(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1034(_init)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pathlib.py:294(splitroot)
        1    0.000    0.000    0.000    0.000 pathlib.py:692(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5555558899a0}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}


New Profile

31 

         3943814691 function calls (3909821137 primitive calls) in 1319.147 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
304198560  178.537    0.000  218.243    0.000 coreviews.py:278(__getitem__)
300878336  172.840    0.000  628.103    0.000 GerrymanderingMCMC.py:173(<lambda>)
307910541  118.445    0.000  163.627    0.000 graph.py:666(nodes)
151648183  106.056    0.000  298.142    0.000 connected.py:185(_plain_bfs)
178102819   85.860    0.000  125.294    0.000 coreviews.py:276(<genexpr>)
307572454   82.353    0.000  296.453    0.000 reportviews.py:177(__getitem__)
583081010   73.387    0.000   73.387    0.000 filters.py:58(__call__)
   683028   71.556    0.000  852.177    0.001 {built-in method _functools.reduce}
151648183   62.443    0.000  107.746    0.000 {method 'update' of 'set' objects}
151139133   57.527    0.000   73.479    0.000 coreviews.py:80(__getitem__)
307910541   45.182    0.000   45.182    0.000 reportviews.py:167(__init__)
132079974   32.823    0.000   32.823    0.000 coreviews.py:275(<genexpr>)
151139133   29.387    0.000   45.349    0.000 coreviews.py:50(__iter__)
   828523   24.131    0.000  324.892    0.000 connected.py:26(connected_components)
151604256   17.883    0.000   17.883    0.000 graph.py:1872(bunch_iter)
151997454   16.325    0.000   17.637    0.000 {built-in method builtins.iter}
151945105   16.112    0.000   16.112    0.000 coreviews.py:44(__init__)
67996938/34005486   13.345    0.000   24.450    0.000 encoder.py:333(_iterencode_dict)
150992786   12.910    0.000   12.910    0.000 {method 'add' of 'set' objects}
   343074   12.386    0.000   30.269    0.000 filters.py:55(__init__)
      753    8.024    0.011   42.369    0.056 __init__.py:120(dump)
 33991836    6.279    0.000   19.554    0.000 encoder.py:277(_iterencode_list)
      770    5.552    0.007    9.007    0.012 graph.py:894(add_edges_from)
  9160026    5.398    0.000    7.309    0.000 coreviews.py:322(new_node_ok)
 34004734    5.266    0.000    5.266    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 34005486    4.620    0.000   29.071    0.000 encoder.py:413(_iterencode)
      350    3.835    0.011 1266.206    3.618 GerrymanderingMCMC.py:210(recombination_of_districts)
   170757    3.474    0.000 1218.663    0.007 GerrymanderingMCMC.py:176(__is_valid_district_plan)
 28308892    2.549    0.000    2.559    0.000 {built-in method builtins.isinstance}
  1733321    2.114    0.000    2.318    0.000 coreviews.py:269(__iter__)
      770    2.086    0.003    3.906    0.005 graph.py:523(add_nodes_from)
 10631267    1.879    0.000    1.879    0.000 {method 'update' of 'dict' objects}
  1688243    1.763    0.000    2.528    0.000 coreviews.py:320(__getitem__)
  3377746    1.756    0.000    9.236    0.000 _collections_abc.py:742(__iter__)
  2295471    1.650    0.000    9.639    0.000 reportviews.py:717(__iter__)
   343074    1.605    0.000    3.538    0.000 graphviews.py:80(subgraph_view)
  2675948    1.456    0.000    1.621    0.000 union_find.py:53(__getitem__)
 11558749    1.389    0.000    1.389    0.000 {built-in method _json.encode_basestring_ascii}
      250    1.358    0.005   52.017    0.208 GerrymanderingMCMC.py:365(perform_calculations)
  3652950    1.328    0.000    1.726    0.000 graph.py:1514(<genexpr>)
      755    1.225    0.002    1.232    0.002 {built-in method io.open}
     1700    1.191    0.001    2.994    0.002 GerrymanderingMCMC.py:158(<listcomp>)
  1161898    1.177    0.000    8.288    0.000 reportviews.py:1025(__iter__)
      250    1.175    0.005    2.046    0.008 node_link.py:98(<listcomp>)
      420    0.967    0.002   30.085    0.072 GerrymanderingMCMC.py:269(__random_spanning_tree)
      250    0.958    0.004    1.283    0.005 node_link.py:90(<listcomp>)
   343074    0.911    0.000   35.674    0.000 graph.py:1628(subgraph)
   683028    0.896    0.000  853.738    0.001 GerrymanderingMCMC.py:168(__district_size)
   990721    0.820    0.000    9.954    0.000 mst.py:169(filter_nan_edges)
   343845    0.802    0.000    0.889    0.000 graph.py:300(__init__)
  2031317    0.768    0.000    0.768    0.000 coreviews.py:262(__init__)
  5342174    0.750    0.000    0.750    0.000 {method 'get' of 'dict' objects}
   990301    0.720    0.000    3.677    0.000 reportviews.py:928(__getitem__)
   351600    0.713    0.000    0.884    0.000 graph.py:830(add_edge)
  8912709    0.660    0.000    0.660    0.000 filters.py:24(no_filter)
  5236371    0.585    0.000    0.585    0.000 {method 'copy' of 'dict' objects}
   991811    0.577    0.000    0.687    0.000 reportviews.py:906(__init__)
   491535    0.576    0.000    0.576    0.000 graph.py:416(__contains__)
   348093    0.554    0.000   13.245    0.000 mst.py:123(kruskal_mst_edges)
   612457    0.545    0.000    0.545    0.000 encoder.py:223(floatstr)
   343074    0.538    0.000    0.538    0.000 function.py:147(freeze)
  2788968    0.520    0.000    2.999    0.000 coreviews.py:267(<genexpr>)
