GeorgiaDemocraticPlan,1,153403,218164
GeorgiaDemocraticPlan,2,228913,226335
GeorgiaDemocraticPlan,3,178721,338636
GeorgiaDemocraticPlan,4,359762,163519
GeorgiaDemocraticPlan,5,420423,84220
GeorgiaDemocraticPlan,6,327290,265841
GeorgiaDemocraticPlan,7,250757,227842
GeorgiaDemocraticPlan,8,170072,295236
GeorgiaDemocraticPlan,9,183479,372849
GeorgiaDemocraticPlan,10,338872,189141
GeorgiaDemocraticPlan,11,181033,391278
GeorgiaDemocraticPlan,12,181535,232318
GeorgiaDemocraticPlan,13,322248,188101
GeorgiaDemocraticPlan,14,87530,341778
