votes,seatsR,seatsD
0,0,0
0.7041263934014608,0.0,0.0
1.7041263934014617,0.0,0.0
2.7041263934014625,0.0,0.0
3.7041263934014634,0.0,0.0
4.704126393401465,0.0,0.0
5.704126393401465,0.0,0.0
6.7041263934014665,0.0,0.0
7.7041263934014665,0.0,0.0
8.704126393401468,0.0,0.0
9.704126393401468,0.0,0.0
10.70412639340147,0.0,0.0
11.70412639340147,0.0,0.0
12.704126393401472,0.0,0.5499999999999999
13.704126393401472,0.0,1.3571428571428572
14.704126393401474,0.0,2.0785714285714287
15.704126393401474,0.0,2.6785714285714284
16.704126393401474,0.0,3.1142857142857143
17.704126393401477,0.0,4.021428571428571
18.704126393401477,0.0,5.271428571428571
19.704126393401477,0.0,7.078571428571428
20.704126393401477,0.0,9.021428571428572
21.70412639340148,0.0,11.0
22.70412639340148,0.0,13.064285714285715
23.70412639340148,0.0,14.264285714285716
24.70412639340148,0.0,15.55
25.704126393401484,0.6357142857142857,16.707142857142856
26.704126393401484,1.3857142857142857,18.321428571428573
27.704126393401484,2.7071428571428573,19.564285714285713
28.704126393401484,4.114285714285714,20.771428571428572
29.704126393401488,5.135714285714286,21.428571428571427
30.704126393401488,6.550000000000001,21.428571428571427
31.704126393401488,7.75,21.428571428571427
32.70412639340149,9.435714285714287,21.428571428571427
33.70412639340149,11.700000000000001,21.428571428571427
34.70412639340149,13.850000000000001,22.164285714285715
35.704126393401495,16.771428571428572,22.885714285714286
36.704126393401495,21.4,23.3
37.704126393401495,27.014285714285712,23.935714285714287
38.704126393401495,30.9,24.614285714285714
39.704126393401495,35.699999999999996,25.46428571428571
40.704126393401495,40.050000000000004,26.114285714285714
41.704126393401495,44.621428571428574,26.764285714285712
42.704126393401495,49.128571428571426,27.29285714285714
43.7041263934015,53.614285714285714,27.892857142857142
44.7041263934015,58.25714285714285,29.17142857142857
45.7041263934015,62.92142857142857,29.70714285714286
46.7041263934015,66.32142857142857,30.457142857142856
47.7041263934015,67.79285714285714,31.214285714285715
48.7041263934015,68.08571428571429,31.885714285714283
50.7041263934015,68.14285714285714,32.471428571428575
51.70412639340151,68.81428571428572,32.52857142857143
52.70412639340151,69.51428571428572,32.857142857142854
53.70412639340151,70.19285714285715,34.23571428571429
54.70412639340151,70.87857142857142,38.971428571428575
55.70412639340151,71.98571428571428,43.49285714285715
56.70412639340151,72.75714285714285,48.292857142857144
57.70412639340151,73.35000000000001,52.07142857142857
58.70412639340151,74.07857142857142,56.65
59.704126393401516,74.52857142857144,61.29285714285714
60.704126393401516,75.25,65.54285714285714
61.704126393401516,75.92142857142858,70.22857142857143
62.704126393401516,76.65714285714286,74.84285714285714
63.704126393401516,77.33571428571429,80.58571428571429
64.70412639340152,77.94285714285715,85.24285714285715
65.70412639340152,78.57142857142857,86.7
66.70412639340152,78.57142857142857,89.02142857142857
67.70412639340152,78.57142857142857,91.16428571428571
68.70412639340152,78.57142857142857,92.81428571428572
69.70412639340152,78.57142857142857,94.03571428571429
70.70412639340152,78.57142857142857,95.45714285714286
71.70412639340152,79.80714285714285,96.62857142857143
72.70412639340152,81.09285714285714,97.98571428571428
73.70412639340152,82.32857142857142,98.61428571428571
74.70412639340152,83.92142857142856,99.36428571428571
75.70412639340152,85.16428571428571,100.0
76.70412639340152,86.39285714285714,100.0
77.70412639340152,87.55714285714285,100.0
78.70412639340152,89.55,100.0
79.70412639340154,91.57857142857144,100.0
80.70412639340154,93.57857142857144,100.0
81.70412639340154,95.50714285714285,100.0
82.70412639340154,96.1,100.0
83.70412639340154,97.07857142857142,100.0
84.70412639340154,97.66428571428571,100.0
85.70412639340154,98.36428571428571,100.0
86.70412639340154,99.15714285714286,100.0
87.70412639340154,99.95714285714286,100.0
88.70412639340154,100.0,100.0
89.70412639340154,100.0,100.0
90.70412639340154,100.0,100.0
91.70412639340154,100.0,100.0
92.70412639340154,100.0,100.0
93.70412639340154,100.0,100.0
94.70412639340154,100.0,100.0
95.70412639340155,100.0,100.0
96.70412639340155,100.0,100.0
97.70412639340155,100.0,100.0
98.70412639340155,100.0,100.0
99.70412639340155,100.0,100.0
100,100,100
