GeorgiaRepublicanPlan,1,149737,210183
GeorgiaRepublicanPlan,2,224885,226541
GeorgiaRepublicanPlan,3,229681,316683
GeorgiaRepublicanPlan,4,385798,122585
GeorgiaRepublicanPlan,5,423926,92388
GeorgiaRepublicanPlan,6,261081,354666
GeorgiaRepublicanPlan,7,277963,186487
GeorgiaRepublicanPlan,8,168942,271816
GeorgiaRepublicanPlan,9,166790,362508
GeorgiaRepublicanPlan,10,225990,315498
GeorgiaRepublicanPlan,11,237664,324001
GeorgiaRepublicanPlan,12,162845,213169
GeorgiaRepublicanPlan,13,387443,127142
GeorgiaRepublicanPlan,14,146204,284704
